,Quantity,Unit_Price,Discount_pct,Rating,Sales_Amount
Quantity,1.0,0.008002870158966002,-0.004854904331641627,-0.06099017778945191,0.6182570338231601
Unit_Price,0.008002870158966002,1.0,-0.02184974610793116,-0.022816762481480832,0.6985053057312456
Discount_pct,-0.004854904331641627,-0.02184974610793116,1.0,0.0012498623285422607,-0.10061384669690655
Rating,-0.06099017778945191,-0.022816762481480832,0.0012498623285422607,1.0,-0.07562579433726724
Sales_Amount,0.6182570338231601,0.6985053057312456,-0.10061384669690655,-0.07562579433726724,1.0
